avg_rate,bayesaverage,category,classificationtype,family,geek_rate,id,maxplayers,maxplaytime,mechanism,minage,minplayers,minplaytime,num_votes,playingtime,title,type,usersrated,yearpublished
8.30,7.875,"Adventure,Exploration,Fantasy,Fighting,Horror,Miniatures,Murder/Mystery,Puzzle",Thematic,"Arkham Horror,Cthulhu Mythos",7.875,205059,5,180,"Area Movement,Co-operative Play,Dice Rolling,Hand Management,Modular Board,Partnerships,Pick-up and Deliver,Role Playing,Variable Player Powers",14,1,120,7277,180,Mansions of Madness: Second Edition,boardgame,7277,2016
8.38,7.86538,"Adventure,Card Game,Collectible Components,Fantasy,Horror,Novel-based","Customizable, Thematic","Arkham Horror,Arkham Horror: The Card Game LCG,Campaign Games,Cthulhu Mythos,Living Card Game,Solitaire Games",7.865,205637,4,120,"Action Point Allowance System,Co-operative Play,Deck / Pool Building,Hand Management,Role Playing,Variable Player Powers",14,1,60,6207,120,Arkham Horror: The Card Game,boardgame,6207,2016
8.35,7.86041,"Fantasy,Fighting,Miniatures,Video Game Theme","Strategy, Thematic","Campaign Games,Components: Miniatures",7.860,209010,4,90,"Action / Movement Programming,Card Drafting,Co-operative Play,Dice Rolling,Modular Board,Variable Player Powers",14,2,60,5655,90,Mechs vs. Minions,boardgame,5655,2016
7.94,7.858,"Economic,Industry / Manufacturing",Strategy,"Country: Germany,Country: USA,Power Grid",7.858,2651,6,120,"Auction/Bidding,Route/Network Building",12,2,120,42794,120,Power Grid,boardgame,42794,2004
8.01,7.85065,"Civilization,Fighting,Science Fiction,Space Exploration,Wargame",Strategy,"4X games,Eclipse",7.851,72125,6,200,"Area Control / Area Influence,Dice Rolling,Grid Movement,Modular Board,Player Elimination,Tile Placement,Variable Phase Order,Variable Player Powers",14,2,60,20711,200,Eclipse,boardgame,20711,2011
8.01,7.83242,"Adventure,Exploration,Fighting,Novel-based",Thematic,"Robinson Crusoe: Adventure on the Cursed Island,Solitaire Games",7.832,121921,4,180,"Action / Movement Programming,Co-operative Play,Dice Rolling,Modular Board,Simultaneous Action Selection,Storytelling,Tile Placement,Variable Player Powers,Worker Placement",14,1,90,18758,180,Robinson Crusoe: Adventures on the Cursed Island,boardgame,18758,2012
8.28,7.83022,"Economic,Industry / Manufacturing",Strategy,Food / Cooking,7.830,175914,5,240,"Deck / Pool Building,Modular Board,Route/Network Building,Simultaneous Action Selection",14,2,120,5418,240,Food Chain Magnate,boardgame,5418,2015
8.08,7.81867,"Medieval,Religious,Travel",Strategy,"Cities: Orléans (France),Country: France,Crowdfunding: Kickstarter,Orléans",7.819,164928,4,90,"Deck / Pool Building,Point to Point Movement,Worker Placement",12,2,90,9127,90,Orléans,boardgame,9127,2014
8.01,7.80924,"Economic,Industry / Manufacturing,Transportation",Strategy,"Cities: Manchester,Country: England",7.809,28720,4,180,"Hand Management,Route/Network Building",14,2,120,10853,180,Brass: Lancashire,boardgame,10853,2007
7.99,7.80829,"Bluffing,Card Game,Collectible Components,Science Fiction",Customizable,"Android,Android: Netrunner LCG,CCGs (Collectible Card Games),Cyberpunk,Hackers,Living Card Game",7.808,124742,2,45,"Action Point Allowance System,Hand Management,Secret Unit Deployment,Variable Player Powers",14,2,45,20737,45,Android: Netrunner,boardgame,20737,2012
7.93,7.80436,"City Building,Economic,Industry / Manufacturing,Nautical",Strategy,"Country: France,Harvest Series,Le Havre,Solitaire Games",7.804,35677,5,150,Worker Placement,12,1,30,19305,150,Le Havre,boardgame,19305,2008
7.94,7.79279,"Ancient,Civilization,Economic,Farming,Mythology",Strategy,"Country: Guatemala,Country: Mexico,Tropical theme",7.793,126163,4,90,"Set Collection,Worker Placement",13,2,90,18376,90,Tzolk'in: The Mayan Calendar,boardgame,18376,2012
8.18,7.792,"Economic,Farming",Strategy,"Solitaire Games,Viticulture,Wine Games",7.792,183394,6,90,"Hand Management,Variable Phase Order,Worker Placement",13,1,90,6144,90,Viticulture Essential Edition,boardgame,6144,2015
7.88,7.78039,"Card Game,Deduction,Party Game,Spies/Secret Agents,Word Game",Party,Codenames,7.780,178900,8,15,"Memory,Partnerships,Pattern Recognition,Press Your Luck",14,2,15,31725,15,Codenames,boardgame,31725,2015
8.02,7.7713,"Adventure,Mature / Adult,Medieval,Science Fiction",Thematic,"T.I.M.E Stories,Time Travel",7.771,146508,4,90,"Co-operative Play,Dice Rolling,Role Playing,Storytelling,Time Track,Variable Player Powers,Voting",12,2,90,11167,90,T.I.M.E Stories,boardgame,11167,2015
7.98,7.76765,"Ancient,Economic,Nautical",Strategy,"Ancient Rome,Concordia",7.768,124361,5,100,"Card Drafting,Deck / Pool Building,Hand Management,Point to Point Movement",13,2,100,10563,100,Concordia,boardgame,10563,2013
7.93,7.74668,"City Building,Economic,Nautical,Renaissance,Territory Building",Strategy,"Colonial Theme,Crowdfunding: Kickstarter,Key-series,Keyflower,Quined Master Print Edition Series",7.747,122515,6,120,"Auction/Bidding,Memory,Modular Board,Pick-up and Deliver,Route/Network Building,Set Collection,Tile Placement,Worker Placement",12,2,90,12159,120,Keyflower,boardgame,12159,2012
7.83,7.7424,"Ancient,Card Game,City Building,Civilization","Family, Strategy","7 Wonders,Tableau Building",7.742,68448,7,30,"Card Drafting,Hand Management,Set Collection,Simultaneous Action Selection,Variable Player Powers",10,2,30,53267,30,7 Wonders,boardgame,53267,2010
7.97,7.72329,"Dice,Economic,Medieval,Travel",Strategy,"Animals: Camels,Cities: Beijing,Cities: Hormuz,Cities: Venice",7.723,171623,4,100,"Card Drafting,Dice Rolling,Point to Point Movement,Set Collection,Variable Player Powers,Worker Placement",12,2,40,9515,100,The Voyages of Marco Polo,boardgame,9515,2015
8.26,7.72294,"Economic,Industry / Manufacturing,Medieval,Puzzle",Strategy,"Admin: Better Description Needed!,Polyominoes,Solitaire Games,Vikings",7.723,177736,4,120,"Area Enclosure,Dice Rolling,Pattern Building,Press Your Luck,Tile Placement,Worker Placement",12,1,30,4516,120,A Feast for Odin,boardgame,4516,2016
7.86,7.71973,"City Building,Economic,Medieval",Strategy,"Caylus,Country: France,Ystari originals",7.720,18602,5,150,Worker Placement,12,2,60,22063,150,Caylus,boardgame,22063,2005
7.92,7.70633,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame","Strategy, Thematic","4X games,Components: Miniatures,Fantasy Flight Big Box,Twilight Imperium",7.706,12493,6,240,"Action Point Allowance System,Area-Impulse,Dice Rolling,Hex-and-Counter,Modular Board,Trading,Variable Phase Order,Variable Player Powers,Voting",14,3,180,15344,240,Twilight Imperium (Third Edition),boardgame,15344,2005
7.93,7.70438,"Adventure,Fantasy,Fighting,Horror,Novel-based",Thematic,"Arkham Horror,Cthulhu Mythos,Eldritch Horror,Solitaire Games",7.704,146021,8,240,"Co-operative Play,Dice Rolling,Point to Point Movement,Variable Player Powers",14,1,120,16941,240,Eldritch Horror,boardgame,16941,2013
7.84,7.69454,"Bluffing,Horror,Zombies",Thematic,Crossroads Series,7.695,150376,5,210,"Action Point Allowance System,Area Movement,Co-operative Play,Dice Rolling,Hand Management,Storytelling,Trading,Variable Player Powers,Voting",14,2,45,23954,210,Dead of Winter: A Crossroads Game,boardgame,23954,2014
7.82,7.68835,"Abstract Strategy,Puzzle","Abstract, Family","Combinatorial,Lookout Games Fur Zwei Spieler Series,Polyominoes",7.688,163412,2,30,"Tile Placement,Time Track",8,2,15,19991,30,Patchwork,boardgame,19991,2014
7.77,7.68304,"Card Game,Civilization,Economic,Science Fiction,Space Exploration",Strategy,"Race for the Galaxy,Tableau Building",7.683,28143,4,60,"Hand Management,Simultaneous Action Selection,Variable Phase Order,Variable Player Powers",12,2,30,34922,60,Race for the Galaxy,boardgame,34922,2007
7.86,7.68146,"Animals,Environmental,Prehistoric",Strategy,"4X games,Evolution",7.681,62219,6,240,"Area Control / Area Influence,Card Drafting,Grid Movement,Modular Board,Tile Placement,Variable Player Powers,Worker Placement",14,2,120,13181,240,Dominant Species,boardgame,13181,2010
7.79,7.68121,"City Building,Fantasy",Strategy,"Dungeons & Dragons,From RPG books to board games",7.681,110327,5,120,"Set Collection,Take That,Worker Placement",12,2,60,29906,120,Lords of Waterdeep,boardgame,29906,2012
7.82,7.67858,"Arabian,Fantasy,Mythology",Strategy,"Animals: Camels,Country: Saudi Arabia",7.679,157354,4,80,"Area Control / Area Influence,Auction/Bidding,Modular Board,Set Collection,Variable Phase Order",13,2,40,18154,80,Five Tribes,boardgame,18154,2014
7.84,7.67594,"Civilization,Dice,Economic,Science Fiction,Space Exploration",Strategy,"Crowdfunding: Wspieram,Race for the Galaxy,Tableau Building",7.676,132531,5,45,"Deck / Pool Building,Dice Rolling,Simultaneous Action Selection,Variable Phase Order,Variable Player Powers",13,2,45,15092,45,Roll for the Galaxy,boardgame,15092,2014
7.80,7.67073,Renaissance,Strategy,"Country: Spain,El Grande",7.671,93,5,120,"Area Control / Area Influence,Area Movement,Auction/Bidding,Card Drafting,Hand Management,Memory,Simultaneous Action Selection",12,2,60,18707,120,El Grande,boardgame,18707,1995
7.79,7.66431,"Card Game,Medieval",Strategy,"Crowdfunding: Wspieram,Dominion",7.664,40834,4,30,"Card Drafting,Deck / Pool Building,Hand Management",13,2,30,23527,30,Dominion: Intrigue,boardgame,23527,2009
7.87,7.6583,"Aviation / Flight,Bluffing,Collectible Components,Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame","Customizable, Wargames","FlightPath,Star Wars,Star Wars: X-Wing Miniatures Game",7.658,103885,2,45,"Action / Movement Programming,Dice Rolling,Player Elimination,Simultaneous Action Selection,Variable Player Powers",14,2,30,17251,45,Star Wars: X-Wing Miniatures Game,boardgame,17251,2012
8.21,7.63531,"Economic,Farming,Industry / Manufacturing",Strategy,"Admin: Better Description Needed!,Country: Germany,Crowdfunding: Wspieram,Harvest Series,Solitaire Games",7.635,159675,2,120,Worker Placement,13,1,60,3723,120,Fields of Arle,boardgame,3723,2014
7.77,7.63437,"Bluffing,Deduction,Movies / TV / Radio theme,Political,Science Fiction,Space Exploration,Spies/Secret Agents",Thematic,Battlestar Galactica,7.634,37111,6,300,"Area Movement,Co-operative Play,Dice Rolling,Hand Management,Partnerships,Role Playing,Variable Player Powers",10,3,120,25803,300,Battlestar Galactica,boardgame,25803,2008
7.84,7.60138,"Deduction,Murder/Mystery,Novel-based,Post-Napoleonic,Spies/Secret Agents",Thematic,"Characters: Sherlock Holmes,Cities: London,Country: England,Mystery Novels,Solitaire Games",7.601,2511,8,120,"Co-operative Play,Storytelling",10,1,60,9389,120,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,boardgame,9389,1981
7.69,7.60119,"Card Game,Medieval",Strategy,"Crowdfunding: Wspieram,Dominion,Mensa Select",7.601,36218,4,30,"Card Drafting,Deck / Pool Building,Hand Management",13,2,30,57127,30,Dominion,boardgame,57127,2008
8.00,7.60013,Economic,Strategy,"Admin: Better Description Needed!,Colonial Theme,Continent: Africa,Tableau Building",7.600,172386,4,150,"Action / Movement Programming,Area Control / Area Influence,Card Drafting,Deck / Pool Building,Hand Management,Simultaneous Action Selection,Stock Holding,Variable Player Powers,Worker Placement",12,2,75,5288,150,Mombasa,boardgame,5288,2015
7.82,7.59445,"Industry / Manufacturing,Trains",Strategy,"Admin: Better Description Needed!,Country: Russia",7.594,144733,4,120,Worker Placement,12,2,90,9236,120,Russian Railroads,boardgame,9236,2013
7.72,7.5899,"Abstract Strategy,Ancient,Civilization,Territory Building",Strategy,"Desert Theme,Knizia tile-laying trilogy,Middle Eastern Theme,Rivers: Euphrates,Rivers: Tigris,Tigris & Euphrates",7.590,42,4,90,"Area Control / Area Influence,Hand Management,Set Collection,Tile Placement",12,2,90,20473,90,Tigris & Euphrates,boardgame,20473,1997
7.81,7.58988,"Ancient,Political",Strategy,"Ancient Rome,Quined Master Print Edition Series",7.590,102680,4,120,"Area Movement,Card Drafting,Hand Management,Set Collection",12,2,60,9964,120,Trajan,boardgame,9964,2011
7.67,7.5827,Medical,"Family, Strategy",Pandemic,7.583,30549,4,45,"Action Point Allowance System,Co-operative Play,Hand Management,Point to Point Movement,Set Collection,Trading,Variable Player Powers",8,2,45,64336,45,Pandemic,boardgame,64336,2008
7.76,7.57718,"Dice,Economic,Medieval",Strategy,"Cities: Troyes (France),Country: France",7.577,73439,4,90,"Area Control / Area Influence,Dice Rolling,Worker Placement",12,1,90,11595,90,Troyes,boardgame,11595,2010
8.01,7.57433,"Abstract Strategy,Ancient,Mythology","Abstract, Family","3D Games,5x5 grid,Country: Greece,Crowdfunding: Kickstarter,Games by the Game Artisans of Canada,Islands: Santorini",7.574,194655,4,20,"Grid Movement,Tile Placement,Variable Player Powers",8,2,20,5424,20,Santorini,boardgame,5424,2016
7.79,7.56821,"Adventure,Exploration,Fantasy,Fighting,Miniatures",Thematic,"Campaign Games,Components: Miniatures,Descent,Monsters,The Realms of Terrinoth",7.568,104162,5,120,"Action Point Allowance System,Dice Rolling,Grid Movement,Hand Management,Modular Board,Partnerships,Variable Player Powers",14,2,120,15040,120,Descent: Journeys in the Dark (Second Edition),boardgame,15040,2012
7.80,7.56777,Action / Dexterity,Family,"Admin: Better Description Needed!,Crokinole,Finger Flicking Games",7.568,521,4,30,Partnerships,8,2,30,7851,30,Crokinole,boardgame,7851,1876
7.73,7.56395,Post-Napoleonic,Strategy,"Country: Germany,Crowdfunding: Wspieram,Mensa Select",7.564,155426,4,90,"Card Drafting,Pattern Building,Set Collection,Tile Placement",13,1,90,13799,90,Castles of Mad King Ludwig,boardgame,13799,2014
7.81,7.55109,"Adventure,Dice,Fantasy,Novel-based,Territory Building,Wargame",Thematic,"Tolkien Games,War of the Ring",7.551,9609,4,180,"Action Point Allowance System,Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,Hand Management",12,2,180,8979,180,War of the Ring (first edition),boardgame,8979,2004
7.99,7.5446,"Adventure,Fantasy,Fighting,Miniatures",Thematic,"Anime & Manga,Arcadia Quest,Campaign Games,Crowdfunding: Kickstarter",7.545,155068,4,60,"Dice Rolling,Grid Movement,Modular Board,Variable Player Powers",13,2,60,5298,60,Arcadia Quest,boardgame,5298,2014
7.71,7.54234,"Bluffing,Card Game,Deduction,Fantasy,Medieval,Negotiation,Party Game",Party,"Crowdfunding: Kickstarter,The Legend of King Arthur and the Knights of the Round Table,Postcard Box Games,Werewolf / Mafia",7.542,128882,10,30,"Memory,Partnerships,Simultaneous Action Selection,Variable Player Powers,Voting",13,5,30,16555,30,The Resistance: Avalon,boardgame,16555,2012
7.78,7.54027,"Ancient,Fighting,Miniatures,Mythology",Strategy,"Country: Egypt,Desert Theme,Monsters",7.540,127023,5,60,"Action Point Allowance System,Area Control / Area Influence,Area Movement,Card Drafting,Hand Management",13,2,90,9636,60,Kemet,boardgame,9636,2012
7.63,7.5363,"Dice,Prehistoric","Family, Strategy",Stone Age,7.536,34635,4,90,"Dice Rolling,Set Collection,Worker Placement",10,2,60,31198,90,Stone Age,boardgame,31198,2008
7.73,7.5358,"Bluffing,Fantasy,Negotiation,Novel-based,Political,Wargame",Strategy,"A Game of Thrones: The Board Game,A Song of Ice and Fire",7.536,103343,6,240,"Area Control / Area Influence,Area Movement,Auction/Bidding,Hand Management,Player Elimination,Simultaneous Action Selection,Variable Player Powers",14,3,120,18315,240,A Game of Thrones: The Board Game (Second Edition),boardgame,18315,2011
7.76,7.53181,"Deduction,Fantasy",Strategy,,7.532,161970,4,120,"Action Point Allowance System,Card Drafting,Hand Management,Worker Placement",13,2,120,10283,120,Alchemists,boardgame,10283,2014
8.03,7.53091,"Adventure,Fantasy",Family,Animals: Dragons,7.531,201808,4,60,"Deck / Pool Building,Player Elimination,Point to Point Movement,Press Your Luck",12,1,30,4726,60,Clank!: A Deck-Building Adventure,boardgame,4726,2016
7.86,7.5204,"Card Game,Fighting,Horror,Movies / TV / Radio theme,Science Fiction",Thematic,"Aliens,Legendary,Solitaire Games",7.520,146652,5,45,"Card Drafting,Co-operative Play,Deck / Pool Building,Partnerships,Player Elimination,Variable Player Powers",17,1,45,6735,45,Legendary Encounters: An Alien Deck Building Game,boardgame,6735,2014
8.04,7.52033,Economic,Strategy,"Crowdfunding: Giochistarter,Crowdfunding: Kickstarter,Crowdfunding: Spieleschmiede,Solitaire Games,Visual Arts: Painting",7.520,125153,4,150,"Commodity Speculation,Set Collection,Worker Placement",13,1,60,3891,150,The Gallerist,boardgame,3891,2015
7.77,7.51545,"City Building,Economic,Industry / Manufacturing,Medieval,Religious,Territory Building",Strategy,"Beer,Country: France,Country: Ireland,Harvest Series,Solitaire Games,Tableau Building,Wine Games",7.515,70149,4,180,"Modular Board,Pattern Building,Set Collection,Tile Placement,Worker Placement",13,1,60,7631,180,Ora et Labora,boardgame,7631,2011
7.64,7.50031,"City Building,Economic",Strategy,"Mensa Select,Solitaire Games,Suburbia",7.500,123260,4,90,"Card Drafting,Set Collection,Tile Placement",8,1,90,15249,90,Suburbia,boardgame,15249,2012
7.64,7.49972,"Card Game,Fighting,Science Fiction",Strategy,"Crowdfunding: Kickstarter,Star Realms",7.500,147020,2,20,"Card Drafting,Deck / Pool Building,Player Elimination,Take That",12,2,20,19577,20,Star Realms,boardgame,19577,2014
7.75,7.4996,"Card Game,Civilization,Economic",Strategy,"Nations,Solitaire Games,Tableau Building",7.500,126042,5,200,"Card Drafting,Variable Player Powers",14,1,40,8369,200,Nations,boardgame,8369,2013
8.05,7.49539,"Bluffing,Dice,Fighting,Miniatures,Science Fiction,Wargame",Strategy,"Components: Miniatures,Fantasy Flight Big Box,Warhammer 40,000 Board Games",7.495,175155,4,180,"Area Control / Area Influence,Dice Rolling,Hand Management,Modular Board,Variable Player Powers",14,2,120,4017,180,Forbidden Stars,boardgame,4017,2015
7.79,7.49114,"Ancient,Wargame",Wargames,"Ancient Rome,Commands & Colors,Commands & Colors: Ancients Series,Country: Greece",7.491,14105,2,60,"Campaign / Battle Card Driven,Dice Rolling,Hand Management,Hex-and-Counter,Modular Board",12,2,60,6878,60,Commands & Colors: Ancients,boardgame,6878,2006
7.70,7.48796,"Trains,Transportation,Video Game Theme",Strategy,"Age of Steam,Country: USA,Railways of the World series",7.488,17133,6,120,"Action Point Allowance System,Auction/Bidding,Card Drafting,Pick-up and Deliver,Route/Network Building,Tile Placement",10,2,120,9511,120,Railways of the World,boardgame,9511,2005
7.59,7.48175,"Trains,Travel",Family,Ticket to Ride,7.482,14996,5,60,"Card Drafting,Hand Management,Route/Network Building,Set Collection",8,2,30,36592,60,Ticket to Ride: Europe,boardgame,36592,2005
8.02,7.47842,"Wargame,World War I",Wargames,,7.478,91,2,480,"Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement",14,2,480,3640,480,Paths of Glory,boardgame,3640,1999
7.68,7.47619,"Fantasy,Fighting,Horror,Mythology,Wargame","Strategy, Thematic",Warhammer Fantasy Board Games,7.476,43111,4,120,"Action Point Allowance System,Area Control / Area Influence,Area Movement,Dice Rolling,Hand Management,Role Playing,Take That,Variable Player Powers",13,3,60,11414,120,Chaos in the Old World,boardgame,11414,2009
7.92,7.46793,"Wargame,World War II",Wargames,Combat Commander Series,7.468,21050,2,180,"Campaign / Battle Card Driven,Hex-and-Counter,Simulation,Variable Phase Order",12,2,60,4409,180,Combat Commander: Europe,boardgame,4409,2006
7.61,7.46224,"Bluffing,Negotiation,Science Fiction,Space Exploration","Strategy, Thematic",Cosmic Encounter,7.462,39463,5,120,"Hand Management,Partnerships,Take That,Variable Player Powers",12,3,60,19447,120,Cosmic Encounter,boardgame,19447,2008
7.63,7.46026,Economic,Strategy,"Cities: Istanbul,Istanbul",7.460,148949,5,60,"Dice Rolling,Grid Movement,Modular Board,Pick-up and Deliver",10,2,40,12984,60,Istanbul,boardgame,12984,2014
7.68,7.44367,"Economic,Trains,Transportation",Strategy,"Age of Steam,Steam",7.444,27833,5,90,"Auction/Bidding,Pick-up and Deliver,Route/Network Building,Tile Placement",10,3,90,8095,90,Steam,boardgame,8095,2009
7.64,7.44093,"Economic,Farming,Nautical,Renaissance",Strategy,"Colonial Theme,Country: India,Country: Portugal",7.441,9216,4,90,"Auction/Bidding,Hand Management,Press Your Luck",12,2,90,9694,90,Goa,boardgame,9694,2004
7.76,7.43526,"Economic,Farming",Strategy,"Crowdfunding: Kickstarter,Viticulture,Wine Games",7.435,128621,6,90,"Hand Management,Worker Placement",13,2,90,6286,90,Viticulture,boardgame,6286,2013
7.80,7.42946,"Economic,Farming",Strategy,"Admin: Better Description Needed!,Country: Spain,Islands: Mallorca,Solitaire Games,Tableau Building",7.429,146886,4,120,"Area Control / Area Influence,Dice Rolling,Hand Management,Simultaneous Action Selection,Variable Player Powers,Worker Placement",12,1,90,5020,120,La Granja,boardgame,5020,2014
7.70,7.42916,"Economic,Trains,Transportation",Strategy,Age of Steam,7.429,4098,6,120,"Auction/Bidding,Dice Rolling,Player Elimination,Route/Network Building,Tile Placement",13,1,120,6802,120,Age of Steam,boardgame,6802,2002
7.64,7.42847,"Card Game,Collectible Components,Fantasy,Novel-based",Customizable,"CCGs (Collectible Card Games),Living Card Game,Lord of the Rings: The Card Game (LCG),Solitaire Games,Tolkien Games",7.428,77423,2,60,"Co-operative Play,Hand Management,Variable Player Powers",13,1,60,15133,60,The Lord of the Rings: The Card Game,boardgame,15133,2011
7.53,7.42536,"Card Game,Economic,Renaissance",Family,Splendor,7.425,148228,4,30,"Card Drafting,Set Collection",10,2,30,31028,30,Splendor,boardgame,31028,2014
7.59,7.42467,"City Building,Renaissance",Strategy,"Alea Big Box,Cities: Florence,Country: Italy,Polyominoes",7.425,555,5,100,"Auction/Bidding,Tile Placement",12,2,75,13208,100,The Princes of Florence,boardgame,13208,2000
7.64,7.42426,Renaissance,Strategy,Country: Germany,7.424,43015,5,90,"Action Point Allowance System,Area Control / Area Influence,Point to Point Movement,Route/Network Building",12,2,45,8600,90,Hansa Teutonica,boardgame,8600,2009
7.55,7.42318,"Animals,Card Game",Family,"Animals: Camels,Asian Theme,Country: India",7.423,54043,2,30,"Card Drafting,Hand Management,Set Collection",12,2,30,19334,30,Jaipur,boardgame,19334,2009
