avg_rate,bayesaverage,category,classificationtype,family,geek_rate,id,maxplayers,maxplaytime,mechanism,minage,minplayers,minplaytime,num_votes,playingtime,title,type,usersrated,yearpublished
7.92,7.70646,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame","Strategy, Thematic","4X games,Components: Miniatures,Fantasy Flight Big Box,Twilight Imperium",7.706,12493,6,240,"Action Point Allowance System,Area-Impulse,Dice Rolling,Hex-and-Counter,Modular Board,Trading,Variable Phase Order,Variable Player Powers,Voting",14,3,180,15348,240,Twilight Imperium (Third Edition),boardgame,15353,2005
7.93,7.70357,"Adventure,Fantasy,Fighting,Horror,Novel-based",Thematic,"Arkham Horror,Cthulhu Mythos,Eldritch Horror,Solitaire Games",7.704,146021,8,240,"Co-operative Play,Dice Rolling,Point to Point Movement,Variable Player Powers",14,1,120,16950,240,Eldritch Horror,boardgame,16963,2013
7.84,7.6947,"Bluffing,Horror,Zombies",Thematic,Crossroads Series,7.694,150376,5,210,"Action Point Allowance System,Area Movement,Co-operative Play,Dice Rolling,Hand Management,Storytelling,Trading,Variable Player Powers,Voting",14,2,45,23972,210,Dead of Winter: A Crossroads Game,boardgame,23981,2014
7.82,7.68786,"Abstract Strategy,Puzzle","Abstract, Family","Combinatorial,Lookout Games Fur Zwei Spieler Series,Polyominoes",7.688,163412,2,30,"Tile Placement,Time Track",8,2,15,20018,30,Patchwork,boardgame,20041,2014
7.77,7.68314,"Card Game,Civilization,Economic,Science Fiction,Space Exploration",Strategy,"Race for the Galaxy,Tableau Building",7.683,28143,4,60,"Hand Management,Simultaneous Action Selection,Variable Phase Order,Variable Player Powers",12,2,30,34930,60,Race for the Galaxy,boardgame,34938,2007
7.86,7.68112,"Animals,Environmental,Prehistoric",Strategy,"4X games,Evolution",7.681,62219,6,240,"Area Control / Area Influence,Card Drafting,Grid Movement,Modular Board,Tile Placement,Variable Player Powers,Worker Placement",14,2,120,13187,240,Dominant Species,boardgame,13191,2010
7.79,7.68092,"City Building,Fantasy",Strategy,"Dungeons & Dragons,From RPG books to board games",7.681,110327,5,120,"Set Collection,Take That,Worker Placement",12,2,60,29926,120,Lords of Waterdeep,boardgame,29944,2012
7.82,7.67841,"Arabian,Fantasy,Mythology",Strategy,"Animals: Camels,Country: Saudi Arabia",7.678,157354,4,80,"Area Control / Area Influence,Auction/Bidding,Modular Board,Set Collection,Variable Phase Order",13,2,40,18164,80,Five Tribes,boardgame,18180,2014
7.84,7.67539,"Civilization,Dice,Economic,Science Fiction,Space Exploration",Strategy,"Crowdfunding: Wspieram,Race for the Galaxy,Tableau Building",7.676,132531,5,45,"Deck / Pool Building,Dice Rolling,Simultaneous Action Selection,Variable Phase Order,Variable Player Powers",13,2,45,15104,45,Roll for the Galaxy,boardgame,15113,2014
7.80,7.6709,Renaissance,Strategy,"Country: Spain,El Grande",7.671,93,5,120,"Area Control / Area Influence,Area Movement,Auction/Bidding,Card Drafting,Hand Management,Memory,Simultaneous Action Selection",12,2,60,18708,120,El Grande,boardgame,18720,1995
7.79,7.66425,"Card Game,Medieval",Strategy,"Crowdfunding: Wspieram,Dominion",7.664,40834,4,30,"Card Drafting,Deck / Pool Building,Hand Management",13,2,30,23535,30,Dominion: Intrigue,boardgame,23540,2009
7.87,7.65775,"Aviation / Flight,Bluffing,Collectible Components,Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame","Customizable, Wargames","FlightPath,Star Wars,Star Wars: X-Wing Miniatures Game",7.658,103885,2,45,"Action / Movement Programming,Dice Rolling,Player Elimination,Simultaneous Action Selection,Variable Player Powers",14,2,30,17255,45,Star Wars: X-Wing Miniatures Game,boardgame,17267,2012
8.21,7.63673,"Economic,Farming,Industry / Manufacturing",Strategy,"Admin: Better Description Needed!,Country: Germany,Crowdfunding: Wspieram,Harvest Series,Solitaire Games",7.636,159675,2,120,Worker Placement,13,1,60,3727,120,Fields of Arle,boardgame,3730,2014
7.77,7.63419,"Bluffing,Deduction,Movies / TV / Radio theme,Political,Science Fiction,Space Exploration,Spies/Secret Agents",Thematic,Battlestar Galactica,7.634,37111,6,300,"Area Movement,Co-operative Play,Dice Rolling,Hand Management,Partnerships,Role Playing,Variable Player Powers",10,3,120,25814,300,Battlestar Galactica,boardgame,25826,2008
7.84,7.6014,"Deduction,Murder/Mystery,Novel-based,Post-Napoleonic,Spies/Secret Agents",Thematic,"Characters: Sherlock Holmes,Cities: London,Country: England,Mystery Novels,Solitaire Games",7.601,2511,8,120,"Co-operative Play,Storytelling",10,1,60,9399,120,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,boardgame,9402,1981
7.69,7.60114,"Card Game,Medieval",Strategy,"Crowdfunding: Wspieram,Dominion,Mensa Select",7.601,36218,4,30,"Card Drafting,Deck / Pool Building,Hand Management",13,2,30,57147,30,Dominion,boardgame,57171,2008
8.00,7.60116,Economic,Strategy,"Admin: Better Description Needed!,Colonial Theme,Continent: Africa,Tableau Building",7.601,172386,4,150,"Action / Movement Programming,Area Control / Area Influence,Card Drafting,Deck / Pool Building,Hand Management,Simultaneous Action Selection,Stock Holding,Variable Player Powers,Worker Placement",12,2,75,5292,150,Mombasa,boardgame,5299,2015
7.82,7.59397,"Industry / Manufacturing,Trains",Strategy,"Admin: Better Description Needed!,Country: Russia",7.595,144733,4,120,Worker Placement,12,2,90,9242,120,Russian Railroads,boardgame,9248,2013
7.81,7.59013,"Ancient,Political",Strategy,"Ancient Rome,Quined Master Print Edition Series",7.590,102680,4,120,"Area Movement,Card Drafting,Hand Management,Set Collection",12,2,60,9967,120,Trajan,boardgame,9974,2011
7.72,7.59,"Abstract Strategy,Ancient,Civilization,Territory Building",Strategy,"Desert Theme,Knizia tile-laying trilogy,Middle Eastern Theme,Rivers: Euphrates,Rivers: Tigris,Tigris & Euphrates",7.590,42,4,90,"Area Control / Area Influence,Hand Management,Set Collection,Tile Placement",12,2,90,20476,90,Tigris & Euphrates,boardgame,20485,1997
7.67,7.58259,Medical,"Family, Strategy",Pandemic,7.583,30549,4,45,"Action Point Allowance System,Co-operative Play,Hand Management,Point to Point Movement,Set Collection,Trading,Variable Player Powers",8,2,45,64370,45,Pandemic,boardgame,64393,2008
7.76,7.57739,"Dice,Economic,Medieval",Strategy,"Cities: Troyes (France),Country: France",7.577,73439,4,90,"Area Control / Area Influence,Dice Rolling,Worker Placement",12,1,90,11597,90,Troyes,boardgame,11599,2010
8.01,7.57513,"Abstract Strategy,Ancient,Mythology","Abstract, Family","3D Games,5x5 grid,Country: Greece,Crowdfunding: Kickstarter,Games by the Game Artisans of Canada,Islands: Santorini",7.575,194655,4,20,"Grid Movement,Tile Placement,Variable Player Powers",8,2,20,5443,20,Santorini,boardgame,5452,2016
7.79,7.56816,"Adventure,Exploration,Fantasy,Fighting,Miniatures",Thematic,"Campaign Games,Components: Miniatures,Descent,Monsters,The Realms of Terrinoth",7.568,104162,5,120,"Action Point Allowance System,Dice Rolling,Grid Movement,Hand Management,Modular Board,Partnerships,Variable Player Powers",14,2,120,15048,120,Descent: Journeys in the Dark (Second Edition),boardgame,15057,2012
7.80,7.56874,Action / Dexterity,Family,"Admin: Better Description Needed!,Crokinole,Finger Flicking Games",7.568,521,4,30,Partnerships,8,2,30,7854,30,Crokinole,boardgame,7855,1876
7.73,7.56364,Post-Napoleonic,Strategy,"Country: Germany,Crowdfunding: Wspieram,Mensa Select",7.564,155426,4,90,"Card Drafting,Pattern Building,Set Collection,Tile Placement",13,1,90,13805,90,Castles of Mad King Ludwig,boardgame,13817,2014
7.81,7.55079,"Adventure,Dice,Fantasy,Novel-based,Territory Building,Wargame",Thematic,"Tolkien Games,War of the Ring",7.551,9609,4,180,"Action Point Allowance System,Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,Hand Management",12,2,180,8981,180,War of the Ring (first edition),boardgame,8984,2004
7.99,7.54481,"Adventure,Fantasy,Fighting,Miniatures",Thematic,"Anime & Manga,Arcadia Quest,Campaign Games,Crowdfunding: Kickstarter",7.545,155068,4,60,"Dice Rolling,Grid Movement,Modular Board,Variable Player Powers",13,2,60,5303,60,Arcadia Quest,boardgame,5309,2014
7.71,7.54235,"Bluffing,Card Game,Deduction,Fantasy,Medieval,Negotiation,Party Game",Party,"Crowdfunding: Kickstarter,The Legend of King Arthur and the Knights of the Round Table,Postcard Box Games,Werewolf / Mafia",7.542,128882,10,30,"Memory,Partnerships,Simultaneous Action Selection,Variable Player Powers,Voting",13,5,30,16566,30,The Resistance: Avalon,boardgame,16570,2012
7.78,7.54056,"Ancient,Fighting,Miniatures,Mythology",Strategy,"Country: Egypt,Desert Theme,Monsters",7.540,127023,5,60,"Action Point Allowance System,Area Control / Area Influence,Area Movement,Card Drafting,Hand Management",13,2,90,9643,60,Kemet,boardgame,9649,2012
7.63,7.53639,"Dice,Prehistoric","Family, Strategy",Stone Age,7.536,34635,4,90,"Dice Rolling,Set Collection,Worker Placement",10,2,60,31209,90,Stone Age,boardgame,31220,2008
7.73,7.5355,"Bluffing,Fantasy,Negotiation,Novel-based,Political,Wargame",Strategy,"A Game of Thrones: The Board Game,A Song of Ice and Fire",7.536,103343,6,240,"Area Control / Area Influence,Area Movement,Auction/Bidding,Hand Management,Player Elimination,Simultaneous Action Selection,Variable Player Powers",14,3,120,18326,240,A Game of Thrones: The Board Game (Second Edition),boardgame,18332,2011
7.77,7.53187,"Deduction,Fantasy",Strategy,,7.532,161970,4,120,"Action Point Allowance System,Card Drafting,Hand Management,Worker Placement",13,2,120,10291,120,Alchemists,boardgame,10299,2014
8.03,7.533,"Adventure,Fantasy",Family,Animals: Dragons,7.531,201808,4,60,"Deck / Pool Building,Player Elimination,Point to Point Movement,Press Your Luck",12,1,30,4752,60,Clank!: A Deck-Building Adventure,boardgame,4775,2016
8.04,7.52116,Economic,Strategy,"Crowdfunding: Giochistarter,Crowdfunding: Kickstarter,Crowdfunding: Spieleschmiede,Solitaire Games,Visual Arts: Painting",7.521,125153,4,150,"Commodity Speculation,Set Collection,Worker Placement",13,1,60,3895,150,The Gallerist,boardgame,3900,2015
7.86,7.51989,"Card Game,Fighting,Horror,Movies / TV / Radio theme,Science Fiction",Thematic,"Aliens,Legendary,Solitaire Games",7.520,146652,5,45,"Card Drafting,Co-operative Play,Deck / Pool Building,Partnerships,Player Elimination,Variable Player Powers",17,1,45,6742,45,Legendary Encounters: An Alien Deck Building Game,boardgame,6747,2014
7.77,7.51533,"City Building,Economic,Industry / Manufacturing,Medieval,Religious,Territory Building",Strategy,"Beer,Country: France,Country: Ireland,Harvest Series,Solitaire Games,Tableau Building,Wine Games",7.515,70149,4,180,"Modular Board,Pattern Building,Set Collection,Tile Placement,Worker Placement",13,1,60,7632,180,Ora et Labora,boardgame,7633,2011
7.64,7.50057,"City Building,Economic",Strategy,"Mensa Select,Solitaire Games,Suburbia",7.500,123260,4,90,"Card Drafting,Set Collection,Tile Placement",8,1,90,15254,90,Suburbia,boardgame,15261,2012
7.64,7.49938,"Card Game,Fighting,Science Fiction",Strategy,"Crowdfunding: Kickstarter,Star Realms",7.500,147020,2,20,"Card Drafting,Deck / Pool Building,Player Elimination,Take That",12,2,20,19585,20,Star Realms,boardgame,19594,2014
7.75,7.50016,"Card Game,Civilization,Economic",Strategy,"Nations,Solitaire Games,Tableau Building",7.500,126042,5,200,"Card Drafting,Variable Player Powers",14,1,40,8371,200,Nations,boardgame,8371,2013
8.05,7.49594,"Bluffing,Dice,Fighting,Miniatures,Science Fiction,Wargame",Strategy,"Components: Miniatures,Fantasy Flight Big Box,Warhammer 40,000 Board Games",7.495,175155,4,180,"Area Control / Area Influence,Dice Rolling,Hand Management,Modular Board,Variable Player Powers",14,2,120,4021,180,Forbidden Stars,boardgame,4030,2015
7.79,7.49093,"Ancient,Wargame",Wargames,"Ancient Rome,Commands & Colors,Commands & Colors: Ancients Series,Country: Greece",7.491,14105,2,60,"Campaign / Battle Card Driven,Dice Rolling,Hand Management,Hex-and-Counter,Modular Board",12,2,60,6879,60,Commands & Colors: Ancients,boardgame,6883,2006
7.70,7.48794,"Trains,Transportation,Video Game Theme",Strategy,"Age of Steam,Country: USA,Railways of the World series",7.488,17133,6,120,"Action Point Allowance System,Auction/Bidding,Card Drafting,Pick-up and Deliver,Route/Network Building,Tile Placement",10,2,120,9513,120,Railways of the World,boardgame,9514,2005
7.59,7.48159,"Trains,Travel",Family,Ticket to Ride,7.482,14996,5,60,"Card Drafting,Hand Management,Route/Network Building,Set Collection",8,2,30,36610,60,Ticket to Ride: Europe,boardgame,36623,2005
8.02,7.47814,"Wargame,World War I",Wargames,,7.479,91,2,480,"Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement",14,2,480,3639,480,Paths of Glory,boardgame,3642,1999
7.68,7.4765,"Fantasy,Fighting,Horror,Mythology,Wargame","Strategy, Thematic",Warhammer Fantasy Board Games,7.476,43111,4,120,"Action Point Allowance System,Area Control / Area Influence,Area Movement,Dice Rolling,Hand Management,Role Playing,Take That,Variable Player Powers",13,3,60,11415,120,Chaos in the Old World,boardgame,11421,2009
7.92,7.46797,"Wargame,World War II",Wargames,Combat Commander Series,7.468,21050,2,180,"Campaign / Battle Card Driven,Hex-and-Counter,Simulation,Variable Phase Order",12,2,60,4409,180,Combat Commander: Europe,boardgame,4409,2006
7.61,7.46241,"Bluffing,Negotiation,Science Fiction,Space Exploration","Strategy, Thematic",Cosmic Encounter,7.462,39463,5,120,"Hand Management,Partnerships,Take That,Variable Player Powers",12,3,60,19455,120,Cosmic Encounter,boardgame,19461,2008
7.63,7.46069,Economic,Strategy,"Cities: Istanbul,Istanbul",7.461,148949,5,60,"Dice Rolling,Grid Movement,Modular Board,Pick-up and Deliver",10,2,40,12997,60,Istanbul,boardgame,13006,2014
7.67,7.44384,"Economic,Trains,Transportation",Strategy,"Age of Steam,Steam",7.444,27833,5,90,"Auction/Bidding,Pick-up and Deliver,Route/Network Building,Tile Placement",10,3,90,8097,90,Steam,boardgame,8099,2009
7.64,7.44116,"Economic,Farming,Nautical,Renaissance",Strategy,"Colonial Theme,Country: India,Country: Portugal",7.441,9216,4,90,"Auction/Bidding,Hand Management,Press Your Luck",12,2,90,9695,90,Goa,boardgame,9696,2004
7.76,7.43525,"Economic,Farming",Strategy,"Crowdfunding: Kickstarter,Viticulture,Wine Games",7.435,128621,6,90,"Hand Management,Worker Placement",13,2,90,6290,90,Viticulture,boardgame,6295,2013
7.80,7.43055,"Economic,Farming",Strategy,"Admin: Better Description Needed!,Country: Spain,Islands: Mallorca,Solitaire Games,Tableau Building",7.430,146886,4,120,"Area Control / Area Influence,Dice Rolling,Hand Management,Simultaneous Action Selection,Variable Player Powers,Worker Placement",12,1,90,5024,120,La Granja,boardgame,5028,2014
7.64,7.42883,"Card Game,Collectible Components,Fantasy,Novel-based",Customizable,"CCGs (Collectible Card Games),Living Card Game,Lord of the Rings: The Card Game (LCG),Solitaire Games,Tolkien Games",7.429,77423,2,60,"Co-operative Play,Hand Management,Variable Player Powers",13,1,60,15138,60,The Lord of the Rings: The Card Game,boardgame,15143,2011
7.70,7.42916,"Economic,Trains,Transportation",Strategy,Age of Steam,7.429,4098,6,120,"Auction/Bidding,Dice Rolling,Player Elimination,Route/Network Building,Tile Placement",13,1,120,6803,120,Age of Steam,boardgame,6803,2002
7.53,7.42483,"Card Game,Economic,Renaissance",Family,Splendor,7.425,148228,4,30,"Card Drafting,Set Collection",10,2,30,31060,30,Splendor,boardgame,31089,2014
7.64,7.42456,Renaissance,Strategy,Country: Germany,7.425,43015,5,90,"Action Point Allowance System,Area Control / Area Influence,Point to Point Movement,Route/Network Building",12,2,45,8602,90,Hansa Teutonica,boardgame,8604,2009
7.59,7.42457,"City Building,Renaissance",Strategy,"Alea Big Box,Cities: Florence,Country: Italy,Polyominoes",7.424,555,5,100,"Auction/Bidding,Tile Placement",12,2,75,13209,100,The Princes of Florence,boardgame,13210,2000
7.55,7.42323,"Animals,Card Game",Family,"Animals: Camels,Asian Theme,Country: India",7.423,54043,2,30,"Card Drafting,Hand Management,Set Collection",12,2,30,19343,30,Jaipur,boardgame,19357,2009
