category,geek_rate,classificationtype,minage,avg_rate,family,title,minplayers,playingtime,yearpublished,usersrated,maxplayers,page,itemnumber,bayesaverage,mechanism,num_votes,maxplaytime,type,id,minplaytime
"Card Game,Expansion for Base-game",5.59,,10,6.38,,Canyon: Grand Canyon,3,0,1999,106,6,1,18,5.58973,,106,0,boardgameexpansion/boargame,1020,0
"Card Game,Expansion for Base-game,Political",5.59,,12,6.19,Hackers,Hacker II: The Dark Side,2,120,1993,167,8,1,20,5.59006,,167,120,boardgameexpansion/boargame,1248,120
"Ancient,Book,Expansion for Base-game,Wargame",5.833,wargames,10,7.5,"GBOH: Great Battles of Alexander,Great Battles of History",Simple GBoH,2,90,2000,193,2,1,21,5.83338,,193,90,boardgameexpansion/boargame,1347,90
"Dice,Expansion for Base-game,Horror",5.601,familygames,10,6.25,,"Another Day, Another Dollar: Horror",3,45,2000,156,8,1,23,5.60109,"Acting,Dice Rolling",156,45,boardgameexpansion/boargame,1487,45
"Economic,Expansion for Base-game,Wargame",5.587,wargames,12,6.27,,Supremacy: Warlords and Pirates of the Neutral Zones,0,10,1987,148,0,1,25,5.58672,,148,10,boardgameexpansion/boargame,1521,10
Expansion for Base-game,5.604,,12,6.54,,Supremacy: Resource Deck 2,0,10,0,118,0,1,27,5.60404,,118,10,boardgameexpansion/boargame,1532,10
"Comic Book / Strip,Expansion for Base-game,Science Fiction",5.697,,14,6.67,Characters: Judge Dredd,Mega-Mania,3,180,1987,200,4,1,28,5.69724,Action Point Allowance System,200,180,boardgameexpansion/boargame,1541,180
"Expansion for Base-game,Racing,Science Fiction",6.769,strategygames,12,7.78,,RoboRally: Armed and Dangerous,2,90,1995,1304,8,1,30,6.76852,"Modular Board,Simultaneous Action Selection",1304,90,boardgameexpansion/boargame,1569,90
"Expansion for Base-game,Exploration,Fighting,Wargame,World War II",6.077,wargames,12,7.66,"Ambush! solitaire wargame system,Solitaire Games,Solitaire Wargames",Ambush! Purple Heart,1,240,1985,375,1,1,32,6.0769,"Action Point Allowance System,Hex-and-Counter,Secret Unit Deployment",375,240,boardgameexpansion/boargame,1605,240
"Expansion for Base-game,Exploration,Fighting,Wargame,World War II",6.131,wargames,12,7.56,"Ambush! solitaire wargame system,Solitaire Games,Solitaire Wargames",Ambush! Move Out!,1,240,1984,447,1,1,33,6.13116,"Action Point Allowance System,Hex-and-Counter,Secret Unit Deployment",447,240,boardgameexpansion/boargame,1606,240
"Expansion for Base-game,Fighting,Horror",N/A,,10,4.18,,Chopping Maul,2,120,1999,11,6,1,35,0,Modular Board,11,120,boardgameexpansion/boargame,1646,120
"Card Game,Expansion for Base-game,Modern Warfare,Nautical,Wargame",5.644,wargames,12,6.73,Naval Battles,Modern Naval Battles II: The Campaign Game,2,90,1990,141,6,1,37,5.64436,Action Point Allowance System,141,90,boardgameexpansion/boargame,1670,90
"Card Game,Expansion for Base-game,Modern Warfare,Nautical,Wargame",5.632,wargames,12,6.78,Naval Battles,Modern Naval Battles III,2,120,1990,123,6,1,38,5.63225,Action Point Allowance System,123,120,boardgameexpansion/boargame,1671,120
"Expansion for Base-game,Fantasy,Fighting,Miniatures,Sports",6.32,thematic,12,7.6,"Blood Bowl,Fantasy Sports,Games Workshop Specialist Games,Warhammer Fantasy Board Games",Blood Bowl: DeathZone,2,120,1994,684,2,1,40,6.31995,"Dice Rolling,Variable Player Powers",684,120,boardgameexpansion/boargame,1676,120
Expansion for Base-game,5.704,,12,6.82,Country: Russia,Kremlin: Revolution,3,90,1989,180,6,1,42,5.70366,,180,90,boardgameexpansion/boargame,1685,90
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting",6.116,thematic,9,6.87,Talisman,Talisman: The Adventure,2,240,1986,872,6,1,43,6.11598,"Dice Rolling,Role Playing,Roll / Spin and Move,Variable Player Powers",872,240,boardgameexpansion/boargame,1736,240
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting",6.148,thematic,9,6.93,Talisman,Talisman Expansion Set,2,120,1986,929,6,1,44,6.14825,"Dice Rolling,Role Playing,Roll / Spin and Move,Variable Player Powers",929,120,boardgameexpansion/boargame,1737,120
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting",5.747,thematic,9,6.37,"Animals: Dragons,Talisman",Talisman Dragons,2,240,1993,433,6,1,45,5.74703,"Dice Rolling,Role Playing,Roll / Spin and Move,Variable Player Powers",433,240,boardgameexpansion/boargame,1739,240
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting",6.006,thematic,9,6.5,Talisman,The Talisman Dungeon,2,240,1987,1145,6,1,47,6.00574,"Dice Rolling,Role Playing,Roll / Spin and Move,Variable Player Powers",1145,240,boardgameexpansion/boargame,1741,240
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting",5.648,thematic,9,5.85,"Talisman,Time Travel",Talisman Timescape,2,240,1988,864,6,1,48,5.64803,"Dice Rolling,Role Playing,Roll / Spin and Move,Variable Player Powers",864,240,boardgameexpansion/boargame,1743,240
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting,Maze",5.829,thematic,10,6.58,Drakborgen,Dungeonquest: Catacombs,1,90,1988,433,4,1,50,5.82859,"Modular Board,Rock-Paper-Scissors,Tile Placement,Variable Player Powers",433,90,boardgameexpansion/boargame,1746,90
"Expansion for Base-game,Exploration,Fantasy,Fighting",6.312,thematic,10,7.12,"HeroQuest,Warhammer Fantasy Board Games",HeroQuest: Return of the Witch Lord,2,120,1991,1140,5,1,52,6.31219,"Partnerships,Roll / Spin and Move,Variable Player Powers",1140,120,boardgameexpansion/boargame,1761,120
"Expansion for Base-game,Exploration,Fantasy,Fighting",6.316,thematic,10,7.06,"HeroQuest,Warhammer Fantasy Board Games",HeroQuest: Kellar's Keep,2,120,1991,1216,5,1,53,6.31647,"Partnerships,Roll / Spin and Move,Variable Player Powers",1216,120,boardgameexpansion/boargame,1762,120
"Expansion for Base-game,Exploration,Fantasy,Fighting",5.77,,10,7.19,"HeroQuest,Warhammer Fantasy Board Games",HeroQuest: Elf Quest Pack,2,120,1992,201,5,1,55,5.77043,"Co-operative Play,Role Playing,Variable Player Powers",201,120,boardgameexpansion/boargame,1764,120
"Expansion for Base-game,Exploration,Fantasy,Fighting",6.025,thematic,10,7.41,"HeroQuest,Warhammer Fantasy Board Games",HeroQuest: Wizards of Morcar,2,120,1993,414,5,1,57,6.02521,"Co-operative Play,Role Playing,Variable Player Powers",414,120,boardgameexpansion/boargame,1767,120
"Adventure,Exploration,Fantasy,Miniatures",5.487,,10,5.46,"3D Games,Das Schwarze Auge",Dark World: Village of Fear,2,90,1993,144,5,1,58,5.48651,Role Playing,144,90,boardgameexpansion/boargame,1777,90
"Expansion for Base-game,Napoleonic,Territory Building,Wargame",N/A,wargames,10,7.22,"Country: Turkey,Risk",Risk Édition Napoléon: Extension Empire Ottoman,2,120,2000,27,6,1,60,0,"Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling",27,120,boardgameexpansion/boargame,1795,120
"Expansion for Base-game,Fighting,Horror,Zombies",N/A,,12,4.7,,Raid on the Mall,2,120,2000,5,6,1,62,0,"Dice Rolling,Variable Player Powers",5,120,boardgameexpansion/boargame,1900,120
"Card Game,Economic,Expansion for Base-game,Exploration,Movies / TV / Radio theme,Negotiation,Political,Science Fiction,Wargame",5.528,wargames,10,5.98,TV Series: Babylon 5,Babylon 5 Component Game System: Reinforcements Pack #1,2,120,1998,79,6,1,63,5.52843,"Modular Board,Tile Placement,Variable Player Powers,Voting",79,120,boardgameexpansion/boargame,1904,120
"Expansion for Base-game,Racing,Science Fiction",6.331,strategygames,12,7.54,,RoboRally: Radioactive,2,120,1998,699,8,1,64,6.33095,"Modular Board,Simultaneous Action Selection",699,120,boardgameexpansion/boargame,1966,120
"Expansion for Base-game,Racing,Science Fiction",6.562,"thematic,strategygames",12,7.79,,RoboRally: Crash and Burn,2,120,1997,876,8,1,66,6.56174,"Modular Board,Simultaneous Action Selection",876,120,boardgameexpansion/boargame,1968,120
Expansion for Base-game,6.255,strategygames,12,7.26,Evolution,Primordial Soup: Freshly Spiced,3,90,1998,719,6,1,67,6.25535,Variable Player Powers,719,90,boardgameexpansion/boargame,2005,90
"Dice,Expansion for Base-game,Exploration,Fantasy,Fighting,Miniatures",5.543,,10,6.59,,The New Dungeon: Miniatures and Game Supplement,1,45,1989,51,6,1,69,5.54266,"Role Playing,Roll / Spin and Move,Variable Player Powers",51,45,boardgameexpansion/boargame,2053,45
"Aviation / Flight,Card Game,Expansion for Base-game,Science Fiction",N/A,,10,7.17,,Starship Command II,2,45,1995,21,10,1,70,0,Simultaneous Action Selection,21,45,boardgameexpansion/boargame,2057,45
"Card Game,Expansion for Base-game,Fantasy",N/A,,10,5.17,,Neues aus dem Wichtelwald,3,45,1999,16,5,1,72,0,Set Collection,16,45,boardgameexpansion/boargame,2064,45
"Expansion for Base-game,Fantasy,Fighting,Miniatures,Sports",5.743,thematic,14,6.66,"Blood Bowl,Fantasy Sports,Games Workshop Specialist Games,Warhammer Fantasy Board Games",Blood Bowl Companion,2,180,1990,268,2,1,74,5.74343,"Role Playing,Variable Player Powers",268,180,boardgameexpansion/boargame,2282,180
"Expansion for Base-game,Fantasy,Fighting,Sports",5.699,"thematic,strategygames",14,6.53,"Blood Bowl,Fairies, Elves and Pixies,Fantasy Sports,Games Workshop Specialist Games,Warhammer Fantasy Board Games","Blood Bowl (Second Edition): Elves, Dwarfs and Dungeonbowl",2,180,1989,265,2,1,76,5.69867,"Tile Placement,Variable Player Powers",265,180,boardgameexpansion/boargame,2287,180
"Card Game,City Building,Comic Book / Strip,Expansion for Base-game,Fantasy",5.799,thematic,10,6.64,Cartoons: 80's Cartoons,Groo: The Game – Expansion Set,2,45,1997,380,6,1,77,5.79932,"Dice Rolling,Take That",380,45,boardgameexpansion/boargame,2345,45
"Adventure,Expansion for Base-game,Fantasy,Novel-based",6.748,"thematic,strategygames",12,7.27,"Lord of the Rings (Reiner Knizia's co-op game),Tolkien Games",Lord of the Rings: Friends & Foes,2,90,2001,2512,5,1,79,6.74766,"Co-operative Play,Dice Rolling,Hand Management,Modular Board,Variable Player Powers",2512,90,boardgameexpansion/boargame,2449,90
"Expansion for Base-game,Fighting,Science Fiction,Video Game Theme",5.653,thematic,12,6.38,,Frag Death Match,2,45,2001,212,6,1,81,5.6527,Dice Rolling,212,45,boardgameexpansion/boargame,2475,45
"Expansion for Base-game,Science Fiction",5.55,,10,6.16,"From RPG books to board games,Kaiju,Monsters",Gammarauders: Revenge of the Factoids,2,60,1989,80,6,1,82,5.54994,"Modular Board,Variable Player Powers",80,60,boardgameexpansion/boargame,2519,60
"Card Game,Expansion for Base-game,Farming,Negotiation",5.565,,12,6.55,"Bohnanza,Lookout Bean Games",Mutabohn,2,60,2001,68,7,1,84,5.56511,"Hand Management,Set Collection,Trading",68,60,boardgameexpansion/boargame,2571,60
"Expansion for Base-game,Wargame,World War II",6.402,wargames,12,7.59,Squad Leader Series,Cross of Iron,1,60,1978,787,2,1,86,6.40221,"Dice Rolling,Hex-and-Counter,Modular Board",787,60,boardgameexpansion/boargame,2587,60
"City Building,Expansion for Base-game,Medieval,Territory Building",6.764,familygames,8,6.96,"Carcassonne,Country: France",Carcassonne: The River,2,60,2001,8462,5,1,87,6.76394,"Area Control / Area Influence,Tile Placement",8462,60,boardgameexpansion/boargame,2591,60
"Card Game,Expansion for Base-game,Fighting,Movies / TV / Radio theme,Science Fiction",N/A,,12,6.58,"Cities: Tokyo,Kaiju,Monsters,Video Tape Box Games",Super Giant Monster Showdown: Destroy Tokyo Tower,2,120,1999,27,6,1,89,0,"Modular Board,Variable Player Powers",27,120,boardgameexpansion/boargame,2662,120
"Expansion for Base-game,Medieval,Territory Building",5.647,,12,6.65,"Country: Vatican City,Web of Power / China",Web of Power: The Vatican,3,30,2001,154,5,1,91,5.6474,"Area Control / Area Influence,Route/Network Building",154,30,boardgameexpansion/boargame,2670,30
"Dice,Expansion for Base-game,Fighting,Movies / TV / Radio theme",5.587,familygames,10,6.16,,"Another Day, Another Dollar: Kung Fu",3,45,2000,159,8,1,92,5.58712,Dice Rolling,159,45,boardgameexpansion/boargame,2703,45
"Dice,Expansion for Base-game,Movies / TV / Radio theme,Music",5.593,familygames,10,6.25,,"Another Day, Another Dollar: Musicals",3,45,2000,146,8,1,94,5.59324,Dice Rolling,146,45,boardgameexpansion/boargame,2715,45
"Expansion for Base-game,Nautical,Party Game,Trivia",N/A,,8,5.2,,Hossa! Seefahrer-Erweiterung,3,45,2001,5,8,1,95,0,Co-operative Play,5,45,boardgameexpansion/boargame,2735,45
"Card Game,Expansion for Base-game,Party Game",5.879,thematic,18,6.38,Chez Geek,Chez Geek 3: Block Party,2,45,2001,962,8,1,97,5.87935,"Set Collection,Take That",962,45,boardgameexpansion/boargame,2741,45
"Card Game,Expansion for Base-game",5.862,thematic,18,6.33,Chez Geek,Chez Geek 2: Slack Attack,2,45,2000,1009,8,1,99,5.86205,"Set Collection,Take That",1009,45,boardgameexpansion/boargame,2797,45
"Abstract Strategy,Economic,Expansion for Base-game,Modern Warfare,Negotiation,Wargame",5.523,"wargames,abstracts",12,6,,Supremacy: High-Tech Edge for Conventional Forces,4,360,1989,85,6,2,4,5.52286,Variable Player Powers,85,360,boardgameexpansion/boargame,2848,360
"Abstract Strategy,Economic,Expansion for Base-game,Modern Warfare,Negotiation,Political,Wargame",5.599,"wargames,abstracts",12,6.63,,Supremacy: Fortuna,4,360,1989,104,6,2,5,5.59851,,104,360,boardgameexpansion/boargame,2849,360
"Abstract Strategy,Economic,Expansion for Base-game,Modern Warfare,Negotiation,Political,Wargame",5.561,"wargames,abstracts",12,6.4,,Supremacy: Boomers – Ballistic Missile Subs,4,360,1990,83,8,2,6,5.56143,"Action Point Allowance System,Campaign / Battle Card Driven",83,360,boardgameexpansion/boargame,2850,360
"Abstract Strategy,Economic,Expansion for Base-game,Modern Warfare,Negotiation,Political,Wargame",5.633,"wargames,abstracts",12,6.94,,Supremacy: Mega Map,4,360,1991,109,8,2,7,5.63271,"Action Point Allowance System,Auction/Bidding,Campaign / Battle Card Driven,Commodity Speculation,Partnerships,Secret Unit Deployment,Trading,Variable Player Powers",109,360,boardgameexpansion/boargame,2851,360
"Science Fiction,Wargame",5.602,wargames,10,6.53,"Starfire,Task Force Games: Pocket Games series",Starfire II,2,30,1980,122,3,2,9,5.60217,"Area-Impulse,Hex-and-Counter,Modular Board,Variable Player Powers",122,30,boardgameexpansion/boargame,2888,30
"Expansion for Base-game,Science Fiction,Wargame",5.532,wargames,14,5.91,"Starfire,Task Force Games: Pocket Games series","Starfire III, Empires",2,360,1982,92,2,2,11,5.53248,"Hex-and-Counter,Modular Board,Variable Player Powers",92,360,boardgameexpansion/boargame,2892,360
"Expansion for Base-game,Science Fiction,Wargame",5.553,wargames,12,6.88,Starfire,Starfire New Empires,2,60,1985,42,2,2,13,5.55256,"Area-Impulse,Hex-and-Counter,Modular Board,Variable Player Powers",42,60,boardgameexpansion/boargame,2894,60
"Expansion for Base-game,Modern Warfare,Wargame",5.585,wargames,12,6.32,,Supremacy: Neutron Bombs and Killer Satellites,2,120,1988,132,8,2,14,5.58484,,132,120,boardgameexpansion/boargame,2913,120
"Card Game,Civilization,Expansion for Base-game",6.543,strategygames,10,7.13,"Catan,Die Siedler von Catan: Das Kartenspiel / Catan Card Game",Catan Card Game: Expansion Set,2,90,2002,1961,2,2,16,6.54275,Trading,1961,90,boardgameexpansion/boargame,2915,90
"Bluffing,Expansion for Base-game,Fighting,Negotiation,Novel-based,Political,Science Fiction",5.558,"thematic,strategygames",12,5.78,Dune,Dune: The Duel,3,180,1984,210,6,2,18,5.55801,"Area Control / Area Influence,Variable Player Powers",210,180,boardgameexpansion/boargame,2950,180
"Expansion for Base-game,Party Game,Trivia",5.596,"partygames,familygames",12,5.86,Trivial Pursuit,Trivial Pursuit: Genus II,2,90,1984,442,24,2,19,5.59616,Roll / Spin and Move,442,90,boardgameexpansion/boargame,2953,90
"City Building,Expansion for Base-game,Medieval,Territory Building",7.442,familygames,8,7.61,"Carcassonne,Country: France",Carcassonne: Expansion 1 – Inns & Cathedrals,2,60,2002,16097,6,2,22,7.44199,"Area Control / Area Influence,Tile Placement",16097,60,boardgameexpansion/boargame,2993,60
"Deduction,Murder/Mystery,Novel-based",5.896,thematic,12,7.71,"Characters: Sherlock Holmes,Cities: London,Country: England,Mystery Novels,Solitaire Games",Sherlock Holmes Consulting Detective: The Mansion Murders,1,60,1983,215,6,2,28,5.89564,Co-operative Play,215,60,boardgameexpansion/boargame,3224,60
"Card Game,Expansion for Base-game",N/A,,10,6.53,,Gaukelspiel,3,30,1998,17,4,2,30,0,Trick-taking,17,30,boardgameexpansion/boargame,3260,30
"Card Game,Expansion for Base-game,Medieval,Print & Play,Territory Building",5.604,,12,6.82,,Web of Power: The Duel,2,30,2002,83,2,2,31,5.60396,"Area Control / Area Influence,Route/Network Building",83,30,boardgameexpansion/boargame,3282,30
"Expansion for Base-game,Fighting,Science Fiction,Video Game Theme",5.592,,12,6.26,,Frag Fire Zone,2,45,2002,143,6,2,33,5.59181,Dice Rolling,143,45,boardgameexpansion/boargame,3326,45
"Expansion for Base-game,Fantasy",5.576,,10,7.24,,The Mystic Wood Extension Kit,1,90,1982,53,7,2,35,5.57587,"Modular Board,Variable Player Powers",53,90,boardgameexpansion/boargame,3415,90
"Fighting,Miniatures,Science Fiction,Wargame",N/A,wargames,10,4.62,Nemesis,Sandsplatters,1,30,1998,4,2,2,37,0,"Dice Rolling,Simultaneous Action Selection",4,30,boardgameexpansion/boargame,3474,30
"Expansion for Base-game,Movies / TV / Radio theme,Party Game,Trivia",N/A,,12,4.8,Trivial Pursuit,Trivial Pursuit Mini Pack: Flicks,2,90,1989,15,24,2,38,0,Roll / Spin and Move,15,90,boardgameexpansion/boargame,3545,90
"Expansion for Base-game,Wargame,World War II",6.151,wargames,12,7.25,Squad Leader Series,Crescendo of Doom,2,60,1979,616,2,2,40,6.15116,"Dice Rolling,Hex-and-Counter,Modular Board",616,60,boardgameexpansion/boargame,3609,60
"Economic,Expansion for Base-game,Modern Warfare,Wargame,World War II",5.593,wargames,12,6.3,Axis & Allies,The World at War,2,180,1990,152,5,2,42,5.59338,"Area-Impulse,Dice Rolling",152,180,boardgameexpansion/boargame,3618,180
"Card Game,Expansion for Base-game,Music,Party Game,Trivia",N/A,,12,5.14,"Music Making & Makers,Music styles: Country,Trivial Pursuit",Trivial Pursuit: Country Music,2,20,1993,7,6,2,44,0,Roll / Spin and Move,7,20,boardgameexpansion/boargame,3635,20
"Expansion for Base-game,Exploration,Fighting,Horror,Miniatures,Zombies",5.789,thematic,16,6,Zombies!!!,Zombies!!! 2: Zombie Corps(e),2,120,2002,2172,6,2,45,5.78924,"Modular Board,Roll / Spin and Move,Tile Placement",2172,120,boardgameexpansion/boargame,3651,60
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting",5.794,,9,6.99,"3D Games,Animals: Dragons,Talisman",Talisman (third edition): Dragon's Tower,1,240,1995,255,8,2,46,5.79416,"Dice Rolling,Role Playing,Roll / Spin and Move,Variable Player Powers",255,240,boardgameexpansion/boargame,3732,240
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting",5.783,,9,6.73,Talisman,Talisman (third edition): City of Adventure,1,240,1994,319,8,2,47,5.78336,"Dice Rolling,Role Playing,Roll / Spin and Move,Variable Player Powers",319,240,boardgameexpansion/boargame,3733,240
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting",5.799,,9,6.76,Talisman,Talisman (third edition): Dungeon of Doom,2,240,1994,322,6,2,48,5.79928,"Dice Rolling,Role Playing,Roll / Spin and Move,Variable Player Powers",322,240,boardgameexpansion/boargame,3735,240
"Dice,Expansion for Base-game,Wargame",N/A,wargames,0,6.61,Risk,One World Dominion,2,120,1998,20,6,2,49,0,"Area Control / Area Influence,Area Movement,Dice Rolling,Set Collection",20,120,boardgameexpansion/boargame,3755,120
"Expansion for Base-game,Fighting,Science Fiction",5.599,,10,6.43,Car Wars,Dueltrack: A Car Wars Deluxe Supplement,2,45,1986,125,8,2,51,5.5995,Hex-and-Counter,125,45,boardgameexpansion/boargame,3764,45
"Card Game,Expansion for Base-game,Fantasy,Fighting",N/A,,12,5.33,,Heroes of Asfar: The College of Magi,4,45,1995,3,10,2,53,0,,3,45,boardgameexpansion/boargame,3824,45
"Adventure,Expansion for Base-game,Horror,Science Fiction",5.553,,12,6.79,From RPG books to board games,Minion Nation,2,60,1992,45,6,2,55,5.55343,"Co-operative Play,Variable Player Powers",45,60,boardgameexpansion/boargame,3854,60
"Adventure,Expansion for Base-game,Exploration,Fantasy,Fighting,Miniatures",5.844,,12,7.55,Warhammer Fantasy Board Games,Warhammer Quest: Catacombs of Terror,2,120,1995,208,4,2,56,5.84376,"Dice Rolling,Modular Board,Role Playing,Variable Player Powers",208,120,boardgameexpansion/boargame,3858,120
"Expansion for Base-game,Fighting,Science Fiction,Wargame,World War II",N/A,wargames,12,7.26,,Hard Vacuum: Science Gone Mad,2,60,2001,28,12,2,58,0,"Hex-and-Counter,Simultaneous Action Selection",28,60,boardgameexpansion/boargame,3942,60
"Expansion for Base-game,Fantasy",N/A,,12,6.36,,The Fall of Castle Bondi,1,60,2002,11,6,2,60,0,Roll / Spin and Move,11,60,boardgameexpansion/boargame,3991,60
"Civilization,Expansion for Base-game,Exploration,Negotiation,Science Fiction",6.14,strategygames,12,6.92,Catan,Starfarers of Catan: 5-6 Player Expansion,5,120,2001,841,6,2,62,6.14012,Trading,841,120,boardgameexpansion/boargame,4100,90
"Expansion for Base-game,Medieval,Negotiation",6.662,"strategygames,familygames",10,7.14,Catan,Catan: Cities & Knights – 5-6 Player Extension,5,120,2000,3034,6,2,63,6.66178,"Dice Rolling,Hand Management,Memory,Modular Board,Route/Network Building,Trading",3034,120,boardgameexpansion/boargame,4101,120
"Ancient,Expansion for Base-game,Wargame",N/A,wargames,12,5.73,Country: Greece,Xenophon,2,240,1992,15,2,2,69,0,Area Movement,15,240,boardgameexpansion/boargame,4231,240
"Civilization,Expansion for Base-game,Negotiation,Political,Science Fiction,Space Exploration,Wargame",5.741,wargames,12,7.35,Twilight Imperium,Twilight Imperium: Hope's End,2,240,2001,164,6,2,71,5.74081,"Dice Rolling,Hex-and-Counter,Modular Board,Tile Placement,Trading,Variable Phase Order,Variable Player Powers,Voting",164,240,boardgameexpansion/boargame,4338,240
"Expansion for Base-game,Political,Science Fiction,Wargame",5.541,wargames,12,6.3,,Thunder's Edge: Demon Canyon,2,240,1999,55,5,2,72,5.54122,"Modular Board,Tile Placement",55,240,boardgameexpansion/boargame,4347,240
"Card Game,Expansion for Base-game,Farming,Negotiation",5.621,,12,6.59,"Bohnanza,Lookout Bean Games",Ladybohn,1,45,2002,115,5,2,74,5.62058,"Set Collection,Trading",115,45,boardgameexpansion/boargame,4377,45
Expansion for Base-game,N/A,,8,2.33,,Worlds of Heroes & Tyrants: Hell,0,10,2003,3,0,2,77,0,,3,10,boardgameexpansion/boargame,4418,10
Expansion for Base-game,N/A,,8,N/A,,Worlds of Heroes & Tyrants: Hell Card Expansion #1 – Alone,0,10,2003,0,0,2,79,0,,N/A,10,boardgameexpansion/boargame,4420,10
"Dice,Expansion for Base-game,Horror",5.563,,12,6.2,When Darkness Comes,When Darkness Comes: The Horror Within,1,90,2002,113,6,2,80,5.56332,"Co-operative Play,Modular Board,Role Playing,Roll / Spin and Move,Tile Placement",113,90,boardgameexpansion/boargame,4451,90
"Expansion for Base-game,Science Fiction",N/A,,10,6.92,Star Trek,The White Flame,2,120,1988,19,2,2,82,0,"Hex-and-Counter,Simultaneous Action Selection",19,120,boardgameexpansion/boargame,4535,120
"Expansion for Base-game,Nautical,Wargame,World War II",5.574,wargames,12,6.39,"Magazine: The General,War at Sea",War at Sea 2,2,90,1977,87,2,2,84,5.57399,Area Movement,87,90,boardgameexpansion/boargame,4686,90
"Card Game,Expansion for Base-game,Science Fiction",5.833,,12,8.15,Cosmic Encounter,Cosmic Encounter: Expansion Set #2,3,90,1977,140,6,2,86,5.83307,Variable Player Powers,140,90,boardgameexpansion/boargame,4716,90
"Card Game,Expansion for Base-game,Science Fiction",5.771,,12,7.99,Cosmic Encounter,Cosmic Encounter: Expansion Set #4,3,90,1979,122,6,2,88,5.77081,Variable Player Powers,122,90,boardgameexpansion/boargame,4718,90
"Card Game,Expansion for Base-game,Science Fiction",5.649,,12,7,Cosmic Encounter,Cosmic Encounter: Expansion Set #6,3,90,1981,110,6,2,90,5.64918,Variable Player Powers,110,90,boardgameexpansion/boargame,4720,90
"Card Game,Expansion for Base-game,Science Fiction",5.747,,12,7.95,Cosmic Encounter,Cosmic Encounter: Expansion Set #7,3,90,1981,108,6,2,91,5.74702,Variable Player Powers,108,90,boardgameexpansion/boargame,4721,90
"Card Game,Expansion for Base-game,Science Fiction",5.673,,12,7.51,Cosmic Encounter,Cosmic Encounter: Expansion Set #9,3,90,1983,94,6,2,93,5.67321,Variable Player Powers,94,90,boardgameexpansion/boargame,4723,90
